# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], level0_avg_total_rows
1618223072.541998625, 0.000000038, 0.000000059, 0.000000074, 0.000000461, 0.000000831, 0.000000883, 0.000000038, 0.000000059, 0.000000074, 0.000000461, 0.000000829, 0.000000883, 1, 1, 40.000000000
1618223072.608664751, 0.000000020, 0.000000036, 0.000000052, 0.000000278, 0.000000335, 0.000000594, 0.000000020, 0.000000035, 0.000000052, 0.000000276, 0.000000334, 0.000000588, 1, 1, 46.000000000
1618223072.641997576, 0.000000030, 0.000000069, 0.000000072, 0.000000424, 0.000000527, 0.000000845, 0.000000030, 0.000000069, 0.000000072, 0.000000424, 0.000000527, 0.000000845, 1, 1, 36.000000000
1618223072.675330400, 0.000000082, 0.000000092, 0.000000130, 0.000000566, 0.000000825, 0.000000929, 0.000000082, 0.000000092, 0.000000130, 0.000000566, 0.000000825, 0.000000929, 1, 1, 38.000000000
1618223072.708663225, 0.000000052, 0.000000067, 0.000000122, 0.000000382, 0.000000807, 0.000000932, 0.000000052, 0.000000067, 0.000000122, 0.000000382, 0.000000807, 0.000000932, 1, 1, 44.000000000
1618223072.741996288, 0.000000034, 0.000000078, 0.000000082, 0.000000527, 0.000000944, 0.000001089, 0.000000034, 0.000000078, 0.000000082, 0.000000527, 0.000000944, 0.000001088, 1, 1, 49.000000000
1618223072.808661938, 0.000000032, 0.000000040, 0.000000068, 0.000000281, 0.000000511, 0.000000614, 0.000000032, 0.000000040, 0.000000068, 0.000000281, 0.000000511, 0.000000614, 1, 1, 64.000000000
1618223072.841994762, 0.000000023, 0.000000072, 0.000000086, 0.000000442, 0.000000658, 0.000000891, 0.000000023, 0.000000072, 0.000000086, 0.000000442, 0.000000658, 0.000000891, 1, 1, 63.000000000
1618223072.875327826, 0.000000088, 0.000000131, 0.000000196, 0.000000610, 0.000000818, 0.000001063, 0.000000088, 0.000000131, 0.000000196, 0.000000609, 0.000000817, 0.000001062, 1, 1, 72.000000000
1618223072.908660650, 0.000000068, 0.000000069, 0.000000131, 0.000000404, 0.000000821, 0.000001036, 0.000000068, 0.000000069, 0.000000131, 0.000000404, 0.000000821, 0.000001036, 1, 1, 90.000000000
1618223072.941993713, 0.000000039, 0.000000091, 0.000000106, 0.000000562, 0.000001043, 0.000001173, 0.000000039, 0.000000091, 0.000000106, 0.000000562, 0.000001043, 0.000001173, 1, 1, 87.000000000
1618223073.008659363, 0.000000053, 0.000000098, 0.000000173, 0.000000579, 0.000000828, 0.000001380, 0.000000053, 0.000000098, 0.000000173, 0.000000579, 0.000000828, 0.000001380, 1, 1, 69.000000000
1618223073.041992426, 0.000000052, 0.000000108, 0.000000481, 0.000000810, 0.000001038, 0.000002058, 0.000000052, 0.000000108, 0.000000478, 0.000000810, 0.000001038, 0.000002056, 1, 1, 65.000000000
1618223073.075325251, 0.000000174, 0.000000212, 0.000000327, 0.000001154, 0.000001350, 0.000001808, 0.000000174, 0.000000211, 0.000000326, 0.000001152, 0.000001349, 0.000001808, 1, 1, 81.000000000
1618223073.108658075, 0.000000113, 0.000000126, 0.000000169, 0.000000550, 0.000001179, 0.000001485, 0.000000113, 0.000000126, 0.000000169, 0.000000550, 0.000001179, 0.000001485, 1, 1, 79.000000000
1618223073.141991138, 0.000000041, 0.000000109, 0.000000137, 0.000000679, 0.000001182, 0.000001639, 0.000000041, 0.000000109, 0.000000137, 0.000000679, 0.000001182, 0.000001636, 1, 1, 99.000000000
1618223073.208656788, 0.000000041, 0.000000088, 0.000000215, 0.000000493, 0.000000902, 0.000001874, 0.000000041, 0.000000088, 0.000000213, 0.000000493, 0.000000900, 0.000001867, 1, 1, 96.000000000
1618223073.241989851, 0.000000045, 0.000000104, 0.000000320, 0.000000732, 0.000000965, 0.000002150, 0.000000045, 0.000000104, 0.000000317, 0.000000732, 0.000000965, 0.000002149, 1, 1, 90.000000000
1618223073.275322676, 0.000000097, 0.000000109, 0.000000127, 0.000000830, 0.000001020, 0.000001183, 0.000000097, 0.000000108, 0.000000127, 0.000000830, 0.000001020, 0.000001180, 1, 1, 88.000000000
1618223073.308655739, 0.000000059, 0.000000084, 0.000000148, 0.000000529, 0.000000964, 0.000001128, 0.000000059, 0.000000084, 0.000000148, 0.000000529, 0.000000964, 0.000001128, 1, 1, 94.000000000
1618223073.341988564, 0.000000037, 0.000000094, 0.000000100, 0.000000632, 0.000001091, 0.000001261, 0.000000037, 0.000000094, 0.000000100, 0.000000632, 0.000001091, 0.000001260, 1, 1, 102.000000000
1618223073.408654451, 0.000000034, 0.000000037, 0.000000071, 0.000000355, 0.000000479, 0.000000680, 0.000000034, 0.000000037, 0.000000071, 0.000000355, 0.000000479, 0.000000680, 1, 1, 109.000000000
1618223073.441987038, 0.000000031, 0.000000076, 0.000000078, 0.000000486, 0.000000667, 0.000000939, 0.000000031, 0.000000076, 0.000000078, 0.000000486, 0.000000667, 0.000000939, 1, 1, 110.000000000
1618223073.475319862, 0.000000083, 0.000000097, 0.000000125, 0.000000676, 0.000000852, 0.000000963, 0.000000083, 0.000000097, 0.000000125, 0.000000676, 0.000000852, 0.000000962, 1, 1, 114.000000000
1618223073.508652925, 0.000000056, 0.000000057, 0.000000142, 0.000000511, 0.000000788, 0.000001057, 0.000000056, 0.000000057, 0.000000142, 0.000000511, 0.000000788, 0.000001057, 1, 1, 108.000000000
1618223073.575318813, 0.000000017, 0.000000040, 0.000000053, 0.000000342, 0.000000465, 0.000000698, 0.000000017, 0.000000040, 0.000000053, 0.000000341, 0.000000465, 0.000000697, 1, 1, 104.000000000
1618223073.608651638, 0.000000062, 0.000000074, 0.000000110, 0.000000433, 0.000000579, 0.000000815, 0.000000062, 0.000000074, 0.000000110, 0.000000433, 0.000000579, 0.000000815, 1, 1, 112.000000000
1618223073.641984463, 0.000000035, 0.000000083, 0.000000085, 0.000000598, 0.000000819, 0.000001073, 0.000000035, 0.000000083, 0.000000085, 0.000000598, 0.000000819, 0.000001073, 1, 1, 107.000000000
1618223073.675317287, 0.000000121, 0.000000125, 0.000000143, 0.000000902, 0.000000967, 0.000001195, 0.000000121, 0.000000125, 0.000000143, 0.000000902, 0.000000967, 0.000001195, 1, 1, 116.000000000
1618223073.708650351, 0.000000068, 0.000000105, 0.000000160, 0.000000568, 0.000001110, 0.000001351, 0.000000068, 0.000000105, 0.000000160, 0.000000568, 0.000001110, 0.000001350, 1, 1, 115.000000000
1618223073.741983175, 0.000000041, 0.000000090, 0.000000099, 0.000000665, 0.000001058, 0.000001434, 0.000000041, 0.000000090, 0.000000099, 0.000000665, 0.000001058, 0.000001433, 1, 1, 107.000000000
1618223073.808648825, 0.000000025, 0.000000034, 0.000000059, 0.000000339, 0.000000397, 0.000000637, 0.000000025, 0.000000034, 0.000000059, 0.000000339, 0.000000397, 0.000000637, 1, 1, 107.000000000
1618223073.841981888, 0.000000035, 0.000000076, 0.000000086, 0.000000490, 0.000000596, 0.000000908, 0.000000035, 0.000000076, 0.000000086, 0.000000490, 0.000000596, 0.000000907, 1, 1, 114.000000000
1618223073.875314713, 0.000000078, 0.000000098, 0.000000114, 0.000000662, 0.000000842, 0.000000963, 0.000000078, 0.000000098, 0.000000114, 0.000000662, 0.000000842, 0.000000962, 1, 1, 110.000000000
1618223073.908647776, 0.000000052, 0.000000056, 0.000000131, 0.000000468, 0.000000770, 0.000000998, 0.000000052, 0.000000056, 0.000000131, 0.000000468, 0.000000770, 0.000000998, 1, 1, 111.000000000
1618223073.975313425, 0.000000016, 0.000000028, 0.000000045, 0.000000300, 0.000000397, 0.000000612, 0.000000016, 0.000000028, 0.000000045, 0.000000300, 0.000000397, 0.000000612, 1, 1, 115.000000000
1618223074.008646488, 0.000000066, 0.000000096, 0.000000110, 0.000000377, 0.000000533, 0.000000756, 0.000000066, 0.000000096, 0.000000110, 0.000000377, 0.000000533, 0.000000755, 1, 1, 105.000000000
1618223074.041979313, 0.000000035, 0.000000077, 0.000000095, 0.000000534, 0.000000781, 0.000001049, 0.000000035, 0.000000077, 0.000000095, 0.000000534, 0.000000781, 0.000001049, 1, 1, 100.000000000
1618223074.075312138, 0.000000072, 0.000000092, 0.000000109, 0.000000675, 0.000000871, 0.000001046, 0.000000072, 0.000000092, 0.000000109, 0.000000675, 0.000000869, 0.000001045, 1, 1, 100.000000000
1618223074.108645201, 0.000000060, 0.000000069, 0.000000137, 0.000000474, 0.000000853, 0.000001034, 0.000000060, 0.000000069, 0.000000137, 0.000000474, 0.000000852, 0.000001033, 1, 1, 91.000000000
1618223074.141978025, 0.000000039, 0.000000084, 0.000000087, 0.000000553, 0.000000988, 0.000001108, 0.000000039, 0.000000084, 0.000000087, 0.000000553, 0.000000987, 0.000001108, 1, 1, 85.000000000
1618223074.208643913, 0.000000031, 0.000000060, 0.000000084, 0.000000386, 0.000000512, 0.000001191, 0.000000031, 0.000000060, 0.000000084, 0.000000386, 0.000000512, 0.000001191, 1, 1, 81.000000000
