# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], cam_used[2], cam_used[3], level0_avg_total_rows
1646305731.852749109, 0.000000001, 0.000000002, 0.000000002, 0.000000104, 0.000000131, 0.000000228, 0.000000001, 0.000000002, 0.000000002, 0.000000104, 0.000000131, 0.000000227, 1, 1, 1, 1, 19.000000000
1646305732.577716351, 0.000000001, 0.000000001, 0.000000002, 0.000000024, 0.000000026, 0.000000043, 0.000000001, 0.000000001, 0.000000002, 0.000000023, 0.000000026, 0.000000043, 1, 1, 1, 1, 35.000000000
1646305733.577676535, 0.000000001, 0.000000002, 0.000000005, 0.000000145, 0.000000237, 0.000000394, 0.000000001, 0.000000002, 0.000000005, 0.000000144, 0.000000204, 0.000000241, 1, 1, 1, 1, 6.000000000
1646305734.002659798, 0.000000005, 0.000000010, 0.000000019, 0.000000654, 0.000000989, 0.000001332, 0.000000005, 0.000000010, 0.000000019, 0.000000654, 0.000000989, 0.000001332, 1, 1, 1, 1, 1.000000000
1646305734.102655888, 0.000000013, 0.000000021, 0.000000045, 0.000001112, 0.000001358, 0.000001779, 0.000000013, 0.000000021, 0.000000044, 0.000001109, 0.000001321, 0.000001770, 0, 1, 1, 1, 4.000000000
1646305735.052618265, 0.000000003, 0.000000005, 0.000000010, 0.000000480, 0.000000563, 0.000000673, 0.000000003, 0.000000005, 0.000000010, 0.000000479, 0.000000563, 0.000000673, 1, 1, 1, 1, 4.000000000
1646305735.152614117, 0.000000006, 0.000000015, 0.000000018, 0.000000214, 0.000000805, 0.000001501, 0.000000006, 0.000000015, 0.000000018, 0.000000213, 0.000000747, 0.000001484, 0, 1, 1, 1, 6.000000000
1646305735.227611065, 0.000000006, 0.000000013, 0.000000017, 0.000000186, 0.000000658, 0.000001098, 0.000000006, 0.000000013, 0.000000017, 0.000000184, 0.000000603, 0.000001088, 0, 1, 1, 1, 11.000000000
1646305736.252562284, 0.000000001, 0.000000002, 0.000000002, 0.000000025, 0.000000112, 0.000000252, 0.000000001, 0.000000002, 0.000000002, 0.000000024, 0.000000107, 0.000000233, 1, 1, 1, 1, 16.000000000
1646305737.077529669, 0.000000001, 0.000000002, 0.000000004, 0.000000025, 0.000000146, 0.000000163, 0.000000001, 0.000000002, 0.000000004, 0.000000025, 0.000000141, 0.000000156, 1, 1, 1, 1, 18.000000000
1646305737.477514029, 0.000000003, 0.000000009, 0.000000012, 0.000000899, 0.000001436, 0.000006510, 0.000000002, 0.000000009, 0.000000011, 0.000000297, 0.000000664, 0.000001999, 1, 1, 1, 1, 14.000000000
1646305737.602509022, 0.000000003, 0.000000011, 0.000000014, 0.000000856, 0.000001266, 0.000003583, 0.000000003, 0.000000009, 0.000000013, 0.000000272, 0.000000332, 0.000001564, 1, 1, 1, 1, 36.000000000
1646305738.152487278, 0.000000002, 0.000000006, 0.000000008, 0.000000613, 0.000000908, 0.000003464, 0.000000002, 0.000000006, 0.000000008, 0.000000552, 0.000000755, 0.000002804, 1, 1, 1, 1, 35.000000000
1646305738.652467728, 0.000000001, 0.000000002, 0.000000003, 0.000000038, 0.000000129, 0.000000254, 0.000000001, 0.000000002, 0.000000003, 0.000000037, 0.000000121, 0.000000244, 1, 1, 1, 1, 47.000000000
1646305738.752463818, 0.000000003, 0.000000007, 0.000000010, 0.000000166, 0.000000462, 0.000000607, 0.000000003, 0.000000007, 0.000000010, 0.000000163, 0.000000428, 0.000000602, 0, 1, 1, 1, 44.000000000
1646305738.977454901, 0.000000001, 0.000000002, 0.000000004, 0.000000072, 0.000000212, 0.000000349, 0.000000001, 0.000000002, 0.000000004, 0.000000072, 0.000000207, 0.000000348, 0, 1, 1, 1, 40.000000000
1646305739.802420139, 0.000000001, 0.000000002, 0.000000005, 0.000000367, 0.000000400, 0.000001201, 0.000000001, 0.000000002, 0.000000005, 0.000000335, 0.000000369, 0.000001078, 1, 1, 1, 1, 64.000000000
1646305740.652386665, 0.000000001, 0.000000003, 0.000000005, 0.000000439, 0.000000521, 0.000001861, 0.000000001, 0.000000003, 0.000000005, 0.000000368, 0.000000479, 0.000001604, 1, 1, 1, 1, 66.000000000
1646305740.802380800, 0.000000001, 0.000000003, 0.000000004, 0.000000092, 0.000000262, 0.000000827, 0.000000001, 0.000000003, 0.000000004, 0.000000090, 0.000000252, 0.000000725, 1, 1, 1, 1, 69.000000000
