# time(s), cam_used[0], cam_used[1], cam_used[2], cam_used[3], cam_rows[0], cam_rows[1], cam_rows[2], cam_rows[3], cam_sol[0][0], cam_sol[0][1], cam_sol[0][2], cam_sol[0][3], cam_sol[0][4], cam_sol[0][5], cam_sol[0][6], cam_sol[1][0], cam_sol[1][1], cam_sol[1][2], cam_sol[1][3], cam_sol[1][4], cam_sol[1][5], cam_sol[1][6], cam_sol[2][0], cam_sol[2][1], cam_sol[2][2], cam_sol[2][3], cam_sol[2][4], cam_sol[2][5], cam_sol[2][6], cam_sol[3][0], cam_sol[3][1], cam_sol[3][2], cam_sol[3][3], cam_sol[3][4], cam_sol[3][5], cam_sol[3][6], level0_avg_total_rows
1646305720.6781888, 0, 1, 1, 1, 0, 4608, 896, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000008, 0.0000237, 0.0000199, 0.0000879, 0.0002703, -0.0000890, -0.0090844, 0.0000011, -0.0000012, -0.0000017, 0.0000078, -0.0000263, -0.0000431, 0.0033293, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 86.0000000
1646305720.8531818, 0, 1, 1, 1, 0, 4672, 832, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000018, 0.0000017, 0.0000150, 0.0000349, 0.0001972, -0.0000558, -0.0046865, 0.0000016, 0.0000129, -0.0000046, 0.0000550, -0.0000684, 0.0000694, 0.0037225, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 86.0000000
1646305720.9531779, 0, 1, 1, 1, 0, 4672, 768, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000026, -0.0000043, 0.0000135, 0.0000089, 0.0001663, -0.0000187, -0.0041181, 0.0000006, 0.0000127, -0.0000037, 0.0000463, -0.0000476, 0.0000782, 0.0033967, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 85.0000000
1646305721.0031760, 0, 1, 1, 0, 0, 4736, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000092, -0.0000439, 0.0000398, 0.0000685, 0.0001486, -0.0000432, 0.0007206, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 74.0000000
1646305721.0531776, 0, 1, 1, 0, 0, 4800, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000033, 0.0000002, 0.0000091, 0.0000418, 0.0000270, -0.0000807, 0.0017954, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 75.0000000
1646305721.2531700, 0, 1, 1, 1, 0, 4480, 768, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000014, -0.0000086, 0.0000115, 0.0000175, 0.0001350, -0.0000504, -0.0016704, 0.0000015, 0.0000061, -0.0000022, 0.0000536, -0.0000801, 0.0000148, 0.0043226, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 82.0000000
1646305721.3531661, 0, 1, 1, 1, 0, 4736, 1408, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000019, -0.0000009, 0.0000074, 0.0000697, -0.0000032, -0.0001536, 0.0088995, 0.0000020, 0.0000039, 0.0000004, 0.0000299, -0.0001267, -0.0000154, -0.0073650, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 96.0000000
1646305721.4531624, 0, 1, 1, 1, 0, 4800, 1472, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000001, -0.0000019, 0.0000094, 0.0000160, 0.0000701, -0.0000515, 0.0065433, 0.0000018, 0.0000053, -0.0000006, 0.0000310, -0.0001252, -0.0000018, -0.0065497, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 98.0000000
1646305721.5281596, 0, 1, 1, 1, 0, 4800, 1472, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000014, -0.0000062, 0.0000154, 0.0000239, 0.0000839, -0.0000049, 0.0059149, 0.0000019, 0.0000057, -0.0000005, 0.0000258, -0.0001184, -0.0000113, -0.0057738, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 98.0000000
1646305721.7531509, 1, 1, 1, 1, 320, 4288, 832, 0, -0.0000002, -0.0000001, 0.0000003, -0.0000032, 0.0000061, 0.0000021, -0.0004244, -0.0000007, -0.0000024, 0.0000077, -0.0000046, 0.0002763, -0.0000120, -0.0017491, 0.0000013, 0.0000043, -0.0000014, 0.0000421, -0.0000764, 0.0000084, 0.0020623, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 85.0000000
1646305721.8781462, 0, 1, 1, 1, 0, 4800, 1856, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000048, -0.0000135, 0.0000131, -0.0000696, 0.0002404, -0.0000082, 0.0035818, 0.0000002, 0.0000099, -0.0000016, 0.0000227, -0.0000885, 0.0000879, -0.0055899, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 104.0000000
1646305721.9781425, 0, 1, 1, 1, 0, 4736, 1856, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000023, -0.0000061, 0.0000107, -0.0000297, 0.0001780, -0.0000407, 0.0043020, 0.0000004, 0.0000085, -0.0000014, 0.0000218, -0.0000776, 0.0000753, -0.0048211, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 103.0000000
1646305722.0281405, 0, 1, 1, 0, 0, 4800, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000044, 0.0000285, 0.0000389, -0.0000340, 0.0002675, -0.0001046, 0.0021036, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 75.0000000
1646305722.0781386, 0, 1, 1, 0, 0, 4864, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000009, -0.0000059, 0.0000094, -0.0000020, 0.0002627, -0.0000379, 0.0015801, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 76.0000000
1646305722.1281366, 0, 1, 1, 0, 0, 4864, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000060, -0.0000098, 0.0000375, -0.0000551, 0.0002759, -0.0000181, 0.0005805, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 76.0000000
1646305722.1781349, 0, 1, 1, 0, 0, 4864, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000037, -0.0000075, 0.0000099, -0.0000305, 0.0001994, 0.0000271, 0.0013228, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 76.0000000
1646305722.3781273, 0, 1, 1, 1, 0, 4864, 1792, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000030, -0.0000077, 0.0000084, -0.0000407, 0.0001608, 0.0000185, 0.0039675, 0.0000003, 0.0000073, -0.0000015, 0.0000205, -0.0000716, 0.0000649, -0.0045299, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 104.0000000
1646305722.4531245, 0, 1, 1, 1, 0, 4608, 1856, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000037, -0.0000022, 0.0000240, -0.0000939, 0.0002124, 0.0000033, 0.0026873, 0.0000052, 0.0000116, -0.0000019, 0.0000263, -0.0000847, 0.0001001, -0.0032256, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 101.0000000
